ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON,TAGS
GalaxyDock-DL,https://github.com/seoklab/galaxydock_dl,https://doi.org/10.1021/acs.jctc.4c00385,,,Structure-based Virtual Screening,Docking,ML+AI,,Protein�Ligand Docking by Global Optimization and Neural Network Energy,5,2024-12-22T04:53:59.000Z,0 months ago,,3,Journal of Chemical Theory and Computation,5.7,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
GNINA_KD,https://github.com/YanjingLiLi/GNINA_Knowledge_Distillation,https://doi.org/10.26434/chemrxiv-2024-0jh8g,,,Structure-based Virtual Screening,Docking,ML+AI,,Condensing Molecular Docking CNNs via Knowledge Distillation,6,2024-04-01T20:12:46.000Z,9 months ago,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai, machine-learning scoring function (MLSF), scoring function (SF)"
gnina-torch,https://github.com/RMeli/gnina-torch/tree/0.0.2?tab=readme-ov-file,https://doi.org/10.5281/zenodo.6943066,,,Structure-based Virtual Screening,Docking,ML+AI,,"A PyTorch implementation of the GNINA molecular docking scoring function, designed for enhanced performance and adaptability.",61,2025-03-06T12:42:39.000Z,0 months ago,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai, machine-learning scoring function (MLSF), scoring function (SF)"
Interformer,https://github.com/tencent-ailab/Interformer,https://doi.org/10.1038/s41467-024-54440-6,,https://assets.researchsquare.com/files/rs-3995849/v1_covered_1a7bca9a-ea43-4846-aade-5187b4ca1ab6.pdf?c=1711449538,Structure-based Virtual Screening,Docking,ML+AI,,interaction-aware model for protein-ligand docking and affinity prediction,84,2025-02-07T04:19:04.000Z,0 months ago,,0,Nature Communications,14.7,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai, binding affinity"
KarmaDock,https://github.com/schrojunzhang/KarmaDock/blob/main/README.md,https://doi.org/10.1038/s43588-023-00511-5,,,Structure-based Virtual Screening,Docking,ML+AI,,Efficient and accurate large library ligand docking with KarmaDock,106,2024-08-08T01:23:18.000Z,5 months ago,,57,Nature Computational Science,12,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
LigPose,https://gitfront.io/r/LigPose/kMWuV4DW6JpE/LigPose4Review/,https://doi.org/10.21203/rs.3.rs-1454132,,,Structure-based Virtual Screening,Docking,ML+AI,,One-step Structure Prediction and Screening for Protein-Ligand Complexes using Multi-Task Geometric Deep Learning,,,,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
PGBind,https://github.com/ShenAoAO/PGBind,https://doi.org/10.1093/bib/bbae455,,,Structure-based Virtual Screening,Docking,ML+AI,,pocket-guided explicit attention learning for protein�ligand docking,4,2024-08-01T16:22:35.000Z,5 months ago,,1,Briefings in Bioinformatics,6.8,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
PLANTAIN,https://github.com/molecularmodelinglab/plantain,2307.1209,,,Structure-based Virtual Screening,Docking,ML+AI,,Predicting LigANd pose wiTh an AI scoring functioN,37,2024-02-08T15:15:38.000Z,11 months ago,,,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
PointVS,https://github.com/jscant/PointVS,https://doi.org/10.1021/acs.jcim.3c00322.s001,,,Structure-based Virtual Screening,Docking,ML+AI,,"SE(3)-equivariant point cloud networks designed for virtual screening, enabling E(3)-invariant predictions of binding pose and affinity using networks based on the EGNN graph neural network layer.",20,2023-04-29T02:54:10.000Z,21 months ago,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
PPDock,https://github.com/JieDuTQS/PPDock,https://doi.org/10.1021/acs.jcim.4c01373,,,Structure-based Virtual Screening,Docking,ML+AI,,Pocket Prediction-Based Protein�Ligand Blind Docking,18,2024-07-18T03:31:16.000Z,6 months ago,,0,Journal of Chemical Information and Modeling,5.6,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
QuickBind,https://github.com/aqlaboratory/QuickBind,https://doi.org/10.48550/arXiv.2410.16474,,,Structure-based Virtual Screening,Docking,ML+AI,,QuickBind: A Light-Weight And Interpretable Molecular Docking Model,20,2024-10-23T06:58:00.000Z,2 months ago,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
RapidDock,,https://doi.org/10.48550/arXiv.2411.00004,,,Structure-based Virtual Screening,Docking,ML+AI,,RapidDock: Unlocking Proteome-scale Molecular Docking,,,,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
Re-Dock,,https://doi.org/10.48550/arXiv.2402.11459,,,Structure-based Virtual Screening,Docking,ML+AI,,Re-Dock: Towards Flexible and Realistic Molecular Docking with Diffusion Bridge,,,,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
SurfDock,https://github.com/CAODH/SurfDock,https://doi.org/10.1101/2023.12.13.571408,,,Structure-based Virtual Screening,Docking,ML+AI,,Surface-Informed Diffusion Generative Model for Reliable and Accurate Protein-ligand Complex Prediction,151,2025-03-13T06:03:49.000Z,0 months ago,,1,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
TankBind,https://github.com/luwei0917/TankBind,https://doi.org/10.1101/2022.06.06.495043,,,Structure-based Virtual Screening,"Docking, Scoring Functions","ML+AI, Machine-learning scoring functions, ML+AI",,Trigonometry-Aware Neural NetworKs for Drug-Protein Binding Structure Prediction,153,2023-11-01T01:52:33.000Z,14 months ago,,66,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, scoring function (SF), ml+ai, machine-learning scoring function (MLSF)"
TopoFormer,https://github.com/WeilabMSU/TopoFormer,https://doi.org/10.5281/zenodo.10892800,,,Structure-based Virtual Screening,Docking,ML+AI,,"A topological transformer for protein-ligand complex interaction prediction, integrating multiscale topology techniques with a structure-to-sequence transformer model.",36,2024-07-07T00:02:39.000Z,6 months ago,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
Uni-Mol v2,https://github.com/deepmodeling/Uni-Mol,https://doi.org/10.26434/chemrxiv-2022-jjm0j-v3,,https://bohrium.dp.tech/apps/unimoldockingv2,Structure-based Virtual Screening,Docking,ML+AI,,"achieves industry-leading performance in complex structure prediction, comparable to AlphaFold3",809,2025-03-13T02:50:34.000Z,0 months ago,,10,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
vScreenML,https://github.com/karanicolaslab/vScreenML,https://doi.org/10.1073/pnas.2000585117,,,Structure-based Virtual Screening,Docking,ML+AI,,"A machine learning classifier designed for virtual screening, allowing for the rescoring of hits to eliminate false positives, based on the Dataset of Congruent Inhibitors and Decoys (D-COID).",23,2020-07-13T06:35:36.000Z,55 months ago,,147,Proceedings of the National Academy of Sciences,9.4,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
vScreenML2.0,https://github.com/gandrianov/vScreenML2,https://doi.org/10.3390/ijms252212350,,,Structure-based Virtual Screening,Docking,ML+AI,,Improved Machine Learning Classification for Reducing False Positives in Structure-Based Virtual Screening,3,2024-07-25T18:35:56.000Z,5 months ago,,0,International Journal of Molecular Sciences,4.9,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, ml+ai"
HARMONICFlow,https://github.com/HannesStark/FlowSite,https://doi.org/10.48550/arXiv.2310.05764,,,Structure-based Virtual Screening,Docking,Multi-Ligand,,Harmonic Self-Conditioned Flow Matching for Multi-Ligand Docking and Binding Site Design,94,2024-07-30T17:25:53.000Z,5 months ago,,0,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, multi-ligand"
O-LAP,https://github.com/jvlehtonen/overlap-toolkit,https://doi.org/10.1186/s13321-024-00857-6,,,Structure-based Virtual Screening,"Docking, Scoring Functions",Negative Image,,Building shape-focused pharmacophore models for effective docking screening,4,2024-08-12T10:45:45.000Z,5 months ago,,1,Journal of Cheminformatics,7.1,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, scoring function (SF), negative image"
PANTHER,,https://doi.org/10.1007/s10822-015-9870-3,,https://www.medchem.fi/panther/,Structure-based Virtual Screening,"Docking, Scoring Functions",Negative Image,,Negative Image based docking and scoring,,,,,33,Journal of Computer-Aided Molecular Design,3,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, scoring function (SF), negative image"
DeepRMSD-Vina,https://github.com/zchwang/DeepRMSD-Vina_Optimization,https://doi.org/10.1093/bib/bbac520,,,Structure-based Virtual Screening,Docking,Pose Optimisation,,"DeepRMSD+Vina is a computational framework integrating ligand binding pose optimization and screening, utilizing deep learning alongside the classical Vina scoring function.",39,2024-01-22T04:46:38.000Z,12 months ago,,32,Briefings in Bioinformatics,6.8,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, pose optimisation, ml+ai"
EquiDock,https://github.com/octavian-ganea/equidock_public,https://doi.org/10.1101/2021.06.06.447297,,,Structure-based Virtual Screening,Docking,Protein Docking,,"EquiDock employs geometric deep learning for fast and accurate rigid 3D protein-protein docking, focusing on efficiency and accessibility with comprehensive preprocessing and training guidelines.",237,2022-04-14T17:54:14.000Z,33 months ago,,4,,,simple/abbrobotstudio,"protein-protein docking, ml+ai"
PyDock3,https://github.com/brianjimenez/pydock_tutorial,https://doi.org/10.1002/prot.21419,,,Structure-based Virtual Screening,Docking,Protein Docking,,Electrostatics and desolvation for effective scoring of rigid-body protein-protein docking,30,2018-07-02T10:30:22.000Z,79 months ago,,293,"Proteins: Structure, Function, and Bioinformatics",3.2,simple/abbrobotstudio,protein-protein docking
Zhang et al.,,https://doi.org/10.1021/acs.jctc.3c00943,,,Structure-based Virtual Screening,Docking,Quantum,,Encoding Molecular Docking for Quantum Computers,,,,,6,Journal of Chemical Theory and Computation,5.7,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, quantum"
Revolutionizing drug discovery: an AI-powered transformation of molecular docking,,https://doi.org/10.1007/s00044-024-03253-9,,,Structure-based Virtual Screening,Docking,Reviews,,Revolutionizing drug discovery: an AI-powered transformation of molecular docking,,,,,3,Medicinal Chemistry Research,2.6,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, review, ml+ai"
FitDock,,https://doi.org/10.1093/bib/bbac087,,http://cao.labshare.cn/fitdock/php/index.php,Structure-based Virtual Screening,Docking,Template,,"fits initial conformation to the given template using a hierachical multi-feature alignment approach, subsequently explores the possible conformations, and finally outputs refined docking poses",,,,,107,Briefings in Bioinformatics,6.8,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, template"
WatVina,https://github.com/biocheming/watvina,,,,Structure-based Virtual Screening,Docking,Water,,"Watvina facilitates drug design with support for explicit or implicit waters, pharmacophore, or position-constrained docking, and external torsion parameters, enhancing the Autodock Vina engine.",60,2025-02-25T12:09:49.000Z,0 months ago,,,,,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, water"
MolModa,,https://doi.org/10.1093/nar/gkae406,,https://durrantlab.com/molmoda,Structure-based Virtual Screening,Docking,WebServers,,accessible and secure molecular docking in a web browser.,,,,,2,Nucleic Acids Research,16.6,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, webserver"
TOMEv3,,https://doi.org/10.1016/j.jmb.2024.168704,https://atome.cbs.cnrs.fr/ATOME_V3/index.html,,Structure-based Virtual Screening,Docking,WebServers,,@TOME 3.0: Interfacing Protein Structure Modeling and Ligand Docking,,,,,0,Journal of Molecular Biology,4.7,simple/abbrobotstudio,"structure-based virtual screening (SBVS), docking, webserver"
OpenVS,https://github.com/gfzhou/OpenVS,https://doi.org/10.1038/s41467-024-52061-7,,,Structure-based Virtual Screening,"Docking, Full Workflows",,,An artificial intelligence accelerated virtual screening platform for drug discovery,48,2024-12-16T21:03:20.000Z,1 months ago,,23,Nature Communications,14.7,simple/abbrobotstudio,"structure-based virtual screening (SBVS), ml+ai, automated workflow"
ClusterX,https://github.com/ChenSikang/ClusterX,https://doi.org/10.1093/bib/bbad126,,,Structure-based Virtual Screening,Docking Pose Processing,Clustering,,"ClusterX is a deep clustering framework for learning molecular representations of protein-ligand complexes and accurately clustering ligands, designed to assist computational medicinal chemists in making visual decisions.",6,2024-02-28T08:41:08.000Z,10 months ago,,4,Briefings in Bioinformatics,6.8,fontawesome/solid/gears,"structure-based virtual screening (SBVS), clustering, pose processing"
AutoParty,https://github.com/keiserlab/autoparty,https://doi.org/10.26434/chemrxiv-2024-7p4ws,,,Structure-based Virtual Screening,Docking Pose Processing,Hit Picking,,Machine Learning-Guided Visual Inspection of Molecular Docking Results,13,2025-02-07T01:00:49.000Z,,,,,,fontawesome/solid/gears,"structure-based virtual screening (SBVS), hit picking, pose processing"
LigGrep,,https://doi.org/10.1186/s13321-020-00471-2,,https://durrantlab.pitt.edu/liggrep/,Structure-based Virtual Screening,Docking Pose Processing,Interaction Filtering,,"LigGrep is a program for identifying docked poses that participate in specified receptor/ligand interactions, accepting a protein receptor file, docked-compound files, and user-specified filters as input.",,,,,17,Journal of Cheminformatics,7.1,fontawesome/solid/gears,"structure-based virtual screening (SBVS), interaction filtering, pose processing"
vsFilt,,https://doi.org/10.1021/acs.jcim.0c00303,https://biokinet.belozersky.msu.ru/vsfilt,,Structure-based Virtual Screening,Docking Pose Processing,Interaction Filtering,,"A Tool to Improve Virtual Screening by Structural Filtration of Docking Poses (detect various types of interactions that are known to be involved in the molecular recognition, including hydrogen and halogen bonds, ionic interactions, hydrophobic contacts, pi-stacking, and cation-pi interactions) (online).",,,,,11,Journal of Chemical Information and Modeling,5.6,fontawesome/solid/gears,"structure-based virtual screening (SBVS), interaction filtering, pose processing"
plif_validity,https://github.com/Exscientia/plif_validity,https://doi.org/10.7717/peerj.6283/supp-7,,,Structure-based Virtual Screening,Docking Pose Processing,Interaction recovery,,Assessing interaction recovery of predicted protein-ligand poses,9,2024-10-02T11:33:50.000Z,3 months ago,,0,,,fontawesome/solid/gears,"structure-based virtual screening (SBVS), benchmark, protein-ligand interaction (PLI)"
OpenBPMD,https://github.com/Gervasiolab/OpenBPMD/tree/main,acs.jcim.2c01142,,,Structure-based Virtual Screening,Docking Pose Processing,Metadynamics,,evaluating ligand pose stability using metadynamics,55,2023-07-19T09:23:26.000Z,18 months ago,,,,,fontawesome/solid/gears,"structure-based virtual screening (SBVS), metadynamics, pose processing"
DeepRMSD-Vina_Optimisation,https://github.com/zchwang/DeepRMSD-Vina_Optimization,,,,Structure-based Virtual Screening,Docking Pose Processing,Minimization,,This algorithm is based on deep learning and a classical scoring function (Vina score) and is designed to optimize ligand conformations.,39,2024-01-22T04:46:38.000Z,12 months ago,,,,,fontawesome/solid/gears,"structure-based virtual screening (SBVS), minimization, pose processing"
Energy minimization post-processing used in PoseBusters,https://github.com/maabuu/posebusters_em,https://doi.org/10.1039/d3sc04185a,,,Structure-based Virtual Screening,Docking Pose Processing,Minimization,,PoseBusters: AI-based docking methods fail to generate physically valid poses or generalise to novel sequences,11,2023-12-13T12:57:12.000Z,13 months ago,,90,Chemical Science,7.6,fontawesome/solid/gears,"structure-based virtual screening (SBVS), minimization, pose processing"
MMO: Molecular Mechanics in OCaml,https://github.com/UnixJunkie/MMO,https://doi.org/10.1002/jcc.27478,,,Structure-based Virtual Screening,Docking Pose Processing,Minimization,,An ANI?2 enabled open?source protocol to estimate ligand strain after docking,7,2025-01-16T10:56:13.000Z,0 months ago,,2,Journal of Computational Chemistry,3.4,fontawesome/solid/gears,"structure-based virtual screening (SBVS), minimization, pose processing, strain"
PyRosettta,https://www.pyrosetta.org/,https://doi.org/10.1093/bioinformatics/btq007,,,Structure-based Virtual Screening,Docking Pose Processing,Minimization,,,,,,,670,Bioinformatics,4.4,fontawesome/solid/gears,"structure-based virtual screening (SBVS), minimization, pose processing"
Vina_pose_Optimization,https://github.com/rongfengzou/vina_pose_optimization,,,,Structure-based Virtual Screening,Docking Pose Processing,Minimization,,optimize positions of ligand polar hydrogens in docking pose,1,2023-11-05T15:55:07.000Z,14 months ago,,,,,fontawesome/solid/gears,"structure-based virtual screening (SBVS), minimization, pose processing"
Classy_Pose,https://github.com/vktrannguyen/Classy_Pose,https://doi.org/10.1002/aisy.202400238,,,Structure-based Virtual Screening,Docking Pose Processing,ML Pose Selection,,ClassyPose: A Machine?Learning Classification Model for Ligand Pose Selection Applied to Virtual Screening in Drug Discovery,1,2025-01-01T21:32:07.000Z,0 months ago,,2,Advanced Intelligent Systems,6.8,fontawesome/solid/gears,"structure-based virtual screening (SBVS), pose processing, pose selection, ml+ai"
SiteInterlock,https://github.com/rasbt/siteinterlock,https://doi.org/10.1002/prot.25172/full,,,Structure-based Virtual Screening,Docking Pose Processing,Other,,based upon the hypothesis that interfacial rigidification of the protein-ligand interface is an important characteristic that can detect the native ligand binding mode,19,2016-11-22T18:20:07.000Z,99 months ago,,0,,,fontawesome/solid/gears,"structure-based virtual screening (SBVS), pose selection"
PECAN,https://github.com/LLNL/PECAN2,https://doi.org/10.3390/make6010030,,,Structure-based Virtual Screening,Docking Pose Processing,Quality Assessment,,"Implements convolutional neural network approaches for improving virtual high-throughput screening, using 3D atomic representation as input data.",2,2023-12-21T00:32:17.000Z,13 months ago,,2,Machine Learning and Knowledge Extraction,4,fontawesome/solid/gears,"structure-based virtual screening (SBVS), quality assessment, pose processing"
PoseBench,https://github.com/BioinfoMachineLearning/PoseBench,https://doi.org/10.5281/zenodo.11477766,,,Structure-based Virtual Screening,Docking Pose Processing,Quality Assessment,,comprehensive benchmark for practical protein-ligand docking,135,2025-03-05T23:53:46.000Z,2 months ago,,0,,,fontawesome/solid/gears,"benchmark, structure-based virtual screening (SBVS), docking"
PoseBusters,https://github.com/maabuu/posebusters,https://doi.org/10.1039/D3SC04185A,,,Structure-based Virtual Screening,Docking Pose Processing,Quality Assessment,,Plausibility checks for generated molecule poses.,264,2025-03-13T15:09:18.000Z,0 months ago,,90,Chemical Science,7.6,fontawesome/solid/gears,"structure-based virtual screening (SBVS), quality assessment, pose processing, benchmark, pose selection"
PoseCheck,https://github.com/cch1999/posecheck,https://doi.org/10.48550/arXiv.2308.07413,,,Structure-based Virtual Screening,Docking Pose Processing,Quality Assessment,,package for analysing the quality of generated protein-ligand complexes,78,2024-11-03T16:26:50.000Z,2 months ago,,0,,,fontawesome/solid/gears,"structure-based virtual screening (SBVS), quality assessment, pose processing, pose selection"
pyDockRMSD,https://github.com/neudinger/pyDockRMSD,https://doi.org/10.1186/s13321-019-0362-7,,,Structure-based Virtual Screening,Docking Pose Processing,RMSD calculation,,"DockRMSD is an open-source program that identifies the minimum symmetry-corrected RMSD for docked poses without losing computational efficiency, useful for ligand molecules with complex structural symmetry.",9,2023-10-06T15:16:24.000Z,15 months ago,,238,Journal of Cheminformatics,7.1,fontawesome/solid/gears,"structure-based virtual screening (SBVS), root mean square deviation (RMSD), pose processing"
rmsd,https://github.com/charnley/rmsd,https://doi.org/10.1107/S0567739476001873,,,Structure-based Virtual Screening,Docking Pose Processing,RMSD calculation,,Calculate Root-mean-square deviation (RMSD) of Two Molecules Using Rotation,521,2025-01-13T16:53:56.000Z,0 months ago,,2453,Acta Crystallographica Section A,,fontawesome/solid/gears,"structure-based virtual screening (SBVS), root mean square deviation (RMSD), pose processing"
spyRMSD,https://github.com/RMeli/spyrmsd,https://doi.org/10.1186/s13321-020-00455-2,,,Structure-based Virtual Screening,Docking Pose Processing,RMSD calculation,,Python tool for symmetry-corrected RMSD calculations.,93,2024-11-18T08:20:06.000Z,2 months ago,,52,Journal of Cheminformatics,7.1,fontawesome/solid/gears,"structure-based virtual screening (SBVS), root mean square deviation (RMSD), pose processing"
DeepDockingGUI,https://github.com/jamesgleave/DeepDockingGUI,https://doi.org/10.1021/acscentsci.0c00229,,,Structure-based Virtual Screening,Docking Score Prediction,,,Deep docking (DD) is a deep learning-based tool developed to accelerate docking-based virtual screening (standalone).,35,2022-10-20T03:42:36.000Z,27 months ago,,273,ACS Central Science,12.7,material/progress-question,"structure-based virtual screening (SBVS), docking, active learning, ml+ai, GUI"
EnOpt,https://github.com/durrantlab/EnOpt,https://doi.org/10.1038/s41598-024-71699-3,,,Structure-based Virtual Screening,Ensemble Docking,ML Optimisation,,Teaching old docks new tricks with machine learning enhanced ensemble docking,4,2024-07-31T19:11:23.000Z,5 months ago,,0,Scientific Reports,3.8,material/speedometer,"structure-based virtual screening (SBVS), ensemble docking, ml+ai, docking"
Yasumitsu et al.,,https://doi.org/10.1101/2025.02.17.638750,,,Structure-based Virtual Screening,General Methods,Generation of SBVS target structures,,Generation of appropriate protein structures for virtual screening using AlphaFold3 predicted protein�ligand complexes,,,,,0,,,material/school,"structure-based virtual screening (SBVS), generation of SBVS target structure"
DrugHash,,https://doi.org/10.1016/j.patrec.2024.06.003,,,Structure-based Virtual Screening,ML+AI,Hashing-based,,Hashing based Contrastive Learning for VS,,,,,2,Pattern Recognition Letters,3.9,fontawesome/solid/hexagon-nodes,"structure-based virtual screening (SBVS), ml+ai, hashing, contrastive learning"
Structure-based drug design with geometric deep learning [2023],,https://doi.org/10.1016/j.sbi.2023.102548,,,Structure-based Virtual Screening,ML+AI,Reviews,,Structure-based drug design with geometric deep learning,,,,,85,Current Opinion in Structural Biology,6.1,fontawesome/solid/hexagon-nodes,"structure-based virtual screening (SBVS), ml+ai, review"
Structure-based drug discovery with deep learning [2022],,https://doi.org/10.1002/cbic.202200776,,,Structure-based Virtual Screening,ML+AI,Reviews,,Structure?Based Drug Discovery with Deep Learning**,,,,,27,ChemBioChem,2.6,fontawesome/solid/hexagon-nodes,"structure-based virtual screening (SBVS), ml+ai, review"
Bayesian Enrichment Factor,,https://doi.org/10.48550/arXiv.2403.10478,,,Structure-based Virtual Screening,Performance Metrics,,,,,,,,0,,,material/tape-measure,performance metric
Power Metric,,https://doi.org/10.1186/s13321-016-0189-4,,,Structure-based Virtual Screening,Performance Metrics,,,,,,,,27,Journal of Cheminformatics,7.1,material/tape-measure,performance metric
LigUnity,https://github.com/IDEA-XL/LigUnity,https://doi.org/10.1101/2025.02.17.638554,,,Structure-based Virtual Screening,Scoring Functions,Binding Affinity,,foundation model for protein-ligand affinity prediction,15,2025-03-06T10:01:02.000Z,,,0,,,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), binding affinity"
LumiNet,https://github.com/lingcon01/LumiNet,https://doi.org/10.1039/d4sc07405j,,,Structure-based Virtual Screening,Scoring Functions,Binding Affinity,,Robust Protein-Ligand Interaction Modeling Integrating Physical Laws and Geometric Knowledge for Absolute Binding Free Energy Calculation,,,,,0,Chemical Science,7.6,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), binding affinity, ml+ai, machine-learning scoring function (MLSF)"
T-ALPHA,https://github.com/gregory-kyro/T-ALPHA,https://doi.org/10.1101/2024.12.19.629497,,,Structure-based Virtual Screening,Scoring Functions,"Binding Affinity, Machine-learning scoring functions, ML+AI",,deep learning model that enhances protein-ligand binding affinity prediction by integrating multimodal feature representations within a hierarchical transformer framework,18,2025-02-24T00:55:39.000Z,,,0,,,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), binding affinity, machine-learning scoring function (MLSF), ml+ai"
NRGRank,https://github.com/NRGlab/NRGRank,https://doi.org/10.1101/2025.02.17.638675,,,Structure-based Virtual Screening,Scoring Functions,Coarse-grained,,Coarse-grained structurally-informed ultramassive virtual screening,1,2025-02-19T18:33:17.000Z,,,0,,,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), coarse-grained (CG)"
ExptGMS,,https://doi.org/10.1038%2Fs42004-023-00984-5,https://exptgms.stonewise.cn/#/create,,Structure-based Virtual Screening,Scoring Functions,Electron Density,,Experimental Electron Density based Grid Matching Score,,,,,4,Communications Chemistry,5.9,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), electron density"
ECScore,,https://doi.org/10.1021/acs.jcim.2c00616,,,Structure-based Virtual Screening,Scoring Functions,ElectroStatic Potential-based,,Modified Electrostatic Complementary Score Function,,,,,6,Journal of Chemical Information and Modeling,5.6,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), electrostatic"
AA-Score,https://github.com/xundrug/AA-Score-Tool,https://doi.org/10.1021/acs.jcim.1c01537,,,Structure-based Virtual Screening,Scoring Functions,Empirical,,An empirical protein-ligand scoring function focusing on amino acid-specific interaction components for improved virtual screening and lead optimization.,36,2023-03-12T11:02:13.000Z,22 months ago,,21,Journal of Chemical Information and Modeling,5.6,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), empirical"
Cyscore,http://clab.labshare.cn/software/,https://doi.org/10.1186/1471-2105-15-291,,http://clab.labshare.cn/software/cyscore.html,Structure-based Virtual Screening,Scoring Functions,Empirical,,An empirical scoring function for accurate protein-ligand binding affinty prediction (linux command line) (standalone).,,,,,72,BMC Bioinformatics,2.9,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), empirical"
LinF9,https://github.com/cyangNYU/Lin_F9_test,https://doi.org/10.1021/acs.jcim.1c00737,,,Structure-based Virtual Screening,Scoring Functions,Empirical,,"Presents Lin_F9, a linear empirical scoring function for protein-ligand docking, available within a fork of the Smina docking suite.",9,2021-10-07T21:50:47.000Z,40 months ago,,19,Journal of Chemical Information and Modeling,5.6,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), empirical, docking"
Vinardo,http://smina.sf.net/,https://doi.org/10.1371/journal.pone.0155183,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0155183,Structure-based Virtual Screening,Scoring Functions,Empirical,,"Vinardo is a scoring function based on Autodock Vina that improves scoring, docking, and virtual screening capabilities. It was trained through a combination of scoring, minimization, and re-docking on curated datasets for optimum docking performance. Vinardo is available within Smina, a fork of Vina.",,,,,260,PLOS ONE,2.9,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), empirical, docking"
DENOISer,https://github.com/HParklab/DENOISer,https://doi.org/10.1101/2024.10.17.618358,,,Structure-based Virtual Screening,Scoring Functions,For predicted structures,,Physics-inspired accuracy estimator for model-docked ligand complexes,10,2024-12-20T06:29:30.000Z,1 months ago,,0,,,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF)"
SQM-ML,https://github.com/tevang/sqm-ml,https://doi.org/10.26434/chemrxiv-2022-68n6h-v2,,,Structure-based Virtual Screening,Scoring Functions,Hybrid,,Hybrid Semiempirical Quantum Chemical - Machine Learning (SQM-ML) scoring function for protein-ligand interactions,3,2022-11-02T12:08:42.000Z,27 months ago,,0,,,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), hybrid, quantum mechanics (QM), semi-empirical quantum mechanic (SQM)"
HydraMapSF,https://github.com/xiaoyangqu/HydraMapSF,,,,Structure-based Virtual Screening,Scoring Functions,Hydration,,HydraMap-based features generation,6,2023-03-16T13:09:29.000Z,22 months ago,,,,,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), hydration, water prediction"
WatSite3,,https://doi.org/10.1038/s42004-020-0261-x,,https://hub.docker.com/r/lilllab/watsite3,Structure-based Virtual Screening,Scoring Functions,Hydration,,,,,,,49,Communications Chemistry,5.9,material/speedometer,"structure-based virtual screening (SBVS), scoring function (SF), hydration, water prediction"
